,Country,Year,LPI_Score,LPI_Score_Interpolated
679,Greece,2024,,3.7
680,Grenada,2015,,2.5
681,Grenada,2016,,2.5
682,Grenada,2017,,2.5
683,Grenada,2018,,2.5
684,Grenada,2019,,2.5
685,Grenada,2020,,2.5
686,Grenada,2021,,2.5
687,Grenada,2022,,2.5
688,Grenada,2023,2.5,2.5
689,Grenada,2024,,2.5
690,Guatemala,2015,,2.476327
691,Guatemala,2016,2.476327,2.476327
692,Guatemala,2017,,2.445472
693,Guatemala,2018,2.414617,2.414617
694,Guatemala,2019,,2.4516936
695,Guatemala,2020,,2.4887702
696,Guatemala,2021,,2.5258468
697,Guatemala,2022,,2.5629234
698,Guatemala,2023,2.6,2.6
699,Guatemala,2024,,2.6
700,Guinea,2015,,2.35896
701,Guinea,2016,2.35896,2.35896
702,Guinea,2017,,2.279909
703,Guinea,2018,2.200858,2.200858
704,Guinea,2019,,2.2606864
705,Guinea,2020,,2.3205148
706,Guinea,2021,,2.3803432
707,Guinea,2022,,2.4401716
708,Guinea,2023,2.5,2.5
709,Guinea,2024,,2.5
710,Guinea-Bissau,2015,,2.370681
711,Guinea-Bissau,2016,2.370681,2.370681
712,Guinea-Bissau,2017,,2.378893
713,Guinea-Bissau,2018,2.387105,2.387105
714,Guinea-Bissau,2019,,2.429684
715,Guinea-Bissau,2020,,2.472263
716,Guinea-Bissau,2021,,2.514842
717,Guinea-Bissau,2022,,2.557421
718,Guinea-Bissau,2023,2.6,2.6
719,Guinea-Bissau,2024,,2.6
720,Guyana,2015,,2.667018
721,Guyana,2016,2.667018,2.667018
722,Guyana,2017,,2.512665
723,Guyana,2018,2.358312,2.358312
724,Guyana,2019,,2.3666496
725,Guyana,2020,,2.3749872
726,Guyana,2021,,2.3833248
727,Guyana,2022,,2.3916624
728,Guyana,2023,2.4,2.4
729,Guyana,2024,,2.4
730,Haiti,2015,,1.716096
731,Haiti,2016,1.716096,1.716096
732,Haiti,2017,,1.9142185
733,Haiti,2018,2.112341,2.112341
734,Haiti,2019,,2.1098728
735,Haiti,2020,,2.1074046
736,Haiti,2021,,2.1049364
737,Haiti,2022,,2.1024682
738,Haiti,2023,2.1,2.1
739,Haiti,2024,,2.1
740,Honduras,2015,,2.462812
741,Honduras,2016,2.462812,2.462812
742,Honduras,2017,,2.533365
743,Honduras,2018,2.603918,2.603918
744,Honduras,2019,,2.6631344
745,Honduras,2020,,2.7223508
746,Honduras,2021,,2.7815672
747,Honduras,2022,,2.8407836
748,Honduras,2023,2.9,2.9
749,Honduras,2024,,2.9
750,"Hong Kong SAR, China",2015,,4.069103
751,"Hong Kong SAR, China",2016,4.069103,4.069103
752,"Hong Kong SAR, China",2017,,3.994585
753,"Hong Kong SAR, China",2018,3.920067,3.920067
754,"Hong Kong SAR, China",2019,,3.9360536
755,"Hong Kong SAR, China",2020,,3.9520402
756,"Hong Kong SAR, China",2021,,3.9680268
757,"Hong Kong SAR, China",2022,,3.9840134
758,"Hong Kong SAR, China",2023,4,4
759,"Hong Kong SAR, China",2024,,4
760,"Hong Kong, China",2015,,
761,"Hong Kong, China",2016,,
762,"Hong Kong, China",2017,,
763,"Hong Kong, China",2018,,
